Year,name,Actor,Actress,Director
1990,Tie Me Up! Tie Me Down!,"Banderas, Antonio","Abril, Victoria", Pedro
1991,High Heels, Miguel,"Abril, Victoria",Pedro
1983,"Dead Zone, The","Walken, Christopher","Adams, Brooke","Cronenberg, David"
1979,Cuba,"Connery, Sean","Adams, Brooke","Lester, Richard"
1978,Days of Heaven,"Gere, Richard","Adams, Brooke","Malick, Terrence"
1983,Octopussy,"Moore, Roger","Adams, Maud","Glen, John"
1984,Target Eagle,"Connors, Chuck","Adams, Maud","Loma, Jos� Antonio de la"
1989,"American Angels: Baptism of Blood, The","Bergen, Robert D.","Adams, Trudy","Sebastian, Beverly"
1985,Subway,"Lambert, Christopher","Adjani, Isabelle","Besson, Luc"
1990,Camille Claudel,"Depardieu, G�rard","Adjani, Isabelle","Nuytten, Bruno"
1982,Fanny and Alexander,"Ahlstedt, B�rje","Adolphson, Kristina","Bergman, Ingmar"
1982,Tragedy of a Ridiculous Man,"Tognazzi, Ugo","Aimee, Anouk","Bertolucci, Bernardo"
1966,A Man & a Woman,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude"
1986,A Man & a Woman: Twenty Years Later,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude"
1966,Un Hombre y una Mujer,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude"
1985,"Official Story, The","Alterio, Hector","Aleandro, Norma","Puenzo, Luiz"
